year,revenue,ebitda,ebitda_margin,depreciation,ebit,tax_rate,nopat,capex,capex_pct,nwc_change,fcf,taxes
0,15827.9,2775.6,0.17536122922181718,584.8,1681.8,0.21031038173385658,1328.1000000000001,640.0,0.040434928196412666,0.0,1427.0,
1,16619.295000000002,2938.7086050000007,0.17682510629963547,614.9139150000001,2323.7946900000006,0.21,1835.7978051000005,664.7718000000001,0.04,7.913950000000023,1778.0259701000004,487.9968849000001
2,17450.25975,3111.1890705000005,0.17828898337745375,645.65961075,2465.5294597500006,0.21,1947.7682732025005,698.01039,0.04,8.309647499999992,1887.1078464525006,517.7611865475001
3,18322.772737500003,3293.570811037501,0.17975286045527203,677.9425912875001,2615.6282197500004,0.21,2066.3462936025003,732.9109095000001,0.04,8.72512987500002,2002.652845515,549.2819261475
4,19055.683647000005,3453.2088219720013,0.1812167375330903,705.0602949390002,2748.1485270330013,0.21,2171.037336356071,762.2273458800003,0.04,7.329109095000022,2106.5411763200714,577.1111906769303
5,19817.910992880006,3620.348160483601,0.1826806146109086,733.2627067365602,2887.085453747041,0.21,2280.797508460162,792.7164397152003,0.04,7.622273458800009,2213.7215020227222,606.2879452868785
6,20412.448322666405,3758.839920499811,0.18414449168872687,755.260587938657,3003.579332561154,0.21,2372.8276727233115,816.4979329066563,0.04,5.9453732978639895,2305.644954457448,630.7516598378423
7,21024.821772346397,3902.3828727725577,0.18560836876654516,777.9184055768167,3124.4644671957412,0.21,2468.3269290846356,840.9928708938559,0.04,6.1237344967999165,2399.128729270796,656.1375381111056
8,21655.56642551679,4051.15544625322,0.18707224584436344,801.2559577441212,3249.899488509099,0.21,2567.420595922188,866.2226570206716,0.04,6.307446531703936,2496.1464501139335,682.4788925869107
9,22305.233418282296,4205.342229557226,0.18853612292218172,825.2936364764449,3380.0485930807813,0.21,2670.238388533817,892.2093367312918,0.04,6.4966699276550575,2596.8260183513153,709.8102045469641
10,22974.390420830765,4365.134179957845,0.19,850.0524455707383,3515.0817343871067,0.21,2776.9145701658144,918.9756168332306,0.04,6.691570025484689,2701.299828877837,738.1671642212924
