year,fcf,discount_factor,pv_fcf
1,1778.0259701000004,1.085,1638.7336129953921
2,1887.1078464525006,1.177225,1603.0137369258218
3,2002.652845515,1.2772891249999998,1567.8931310990379
4,2106.5411763200714,1.3858587006249998,1520.0259415841278
5,2213.7215020227222,1.5036566901781248,1472.2253533554142
6,2305.644954457448,1.6314675088432653,1413.233755474655
7,2399.128729270796,1.7701422470949428,1355.3310380609864
8,2496.1464501139335,1.920604338098013,1299.6671936010953
9,2596.8260183513153,2.083855706836344,1246.164026536055
10,2701.299828877837,2.260983441917433,1194.7455159543288
