,1.5%,1.7%,2.0%,2.2%,2.5%,2.7%,3.0%,3.2%,3.5%
7.0%,571.3766081345533,591.3663247189586,613.3550129618044,637.6582999670547,664.6619521951111,694.8425046852916,728.7956262367445,767.2758306617243,811.2532071474161
7.5%,515.6590847231561,531.7021501791554,549.2036761311545,568.372014078582,589.4571858207524,612.7618493252565,638.6559198858166,667.5963516887955,700.1543374671468
8.0%,468.5813291621959,481.6483160529616,495.8042185179577,511.191069023388,527.9767241202213,546.3610130358007,566.5837308429378,588.9351557876684,613.7700723929246
8.5%,428.2894922521162,439.0668716648383,450.6732802631543,463.20820154933557,476.7876996093655,491.54802358765886,507.6501952003424,525.2859069666147,544.6851899095145
9.0%,393.42419025914177,402.4097446492673,412.03712435297297,422.3776432939903,433.51358676893204,445.5404057218691,458.5694595875509,472.7314746589441,488.1809456459185
9.5%,362.96597934448533,370.52845285938014,378.59509127526786,387.2180495819064,396.4569334818764,406.3801791522146,417.0667514125787,428.6082494537718,441.11153899839786
10.0%,336.13536870396945,342.553012199619,349.37175841374653,356.630423738463,364.3730000848272,372.64954721369935,381.517276280348,391.04187416674836,401.2991334290258
10.5%,312.32616290361545,317.8123619980128,323.6212786861982,329.7822509312433,336.32828394160373,343.29664166231,350.7295565643967,358.67508628731696,367.18815384758864
11.0%,291.0598542195835,295.78059856564306,300.7636064864837,306.0313577170866,311.6089766671369,317.5246331293113,323.8100181203717,330.5009118205327,337.6378651007045
11.5%,271.95369746842647,276.0397524542678,280.3408629656797,284.87446593716794,289.65993574040556,294.718860960971,300.07537001804036,305.7565159876593,311.79273358037943
