entry_price,entry_multiple,exit_multiple,initial_equity,exit_equity_value,moic,irr
300,8.600843060959793,8.0,10471.95,22303.380158007,2.1298211085812095,0.1632381188344607
300,8.600843060959793,8.5,10471.95,24132.800903027215,2.3045183469198394,0.18172394058114283
300,8.600843060959793,9.0,10471.95,25962.221648047424,2.4792155852584687,0.1991205855728655
300,8.600843060959793,9.5,10471.95,27791.64239306764,2.6539128235970986,0.21556260334455835
300,8.600843060959793,10.0,10471.95,29621.063138087848,2.828610061935728,0.2311603385402572
325,9.186121919584956,8.0,12128.939999999999,22303.380158007,1.8388565000739554,0.1295606843450241
325,9.186121919584956,8.5,12128.939999999999,24132.800903027215,1.9896875492027513,0.14751131468009837
325,9.186121919584956,9.0,12128.939999999999,25962.221648047424,2.1405185983315462,0.16440430151055518
325,9.186121919584956,9.5,12128.939999999999,27791.64239306764,2.291349647460342,0.1803702989667042
325,9.186121919584956,10.0,12128.939999999999,29621.063138087848,2.4421806965891375,0.19551645705473097
350,9.771400778210117,8.0,13785.93,22303.380158007,1.6178364577512725,0.10099899765741815
350,9.771400778210117,8.5,13785.93,24132.800903027215,1.750538476767778,0.11849573446859307
350,9.771400778210117,9.0,13785.93,25962.221648047424,1.8832404957842832,0.134961570988531
350,9.771400778210117,9.5,13785.93,27791.64239306764,2.015942514800789,0.15052385767170495
350,9.771400778210117,10.0,13785.93,29621.063138087848,2.148644533817294,0.16528703516574805
355,9.88845654993515,8.0,14117.328000000001,22303.380158007,1.5798584659934938,0.09578067331143458
355,9.88845654993515,8.5,14117.328000000001,24132.800903027215,1.7094453640963228,0.11319448212006766
355,9.88845654993515,9.0,14117.328000000001,25962.221648047424,1.8390322621991513,0.12958227672010203
355,9.88845654993515,9.5,14117.328000000001,27791.64239306764,1.9686191603019805,0.1450708039723856
355,9.88845654993515,10.0,14117.328000000001,29621.063138087848,2.098206058404809,0.15976400951485803
375,10.35667963683528,8.0,15442.919999999998,22303.380158007,1.4442463056214112,0.07628739256349504
375,10.35667963683528,8.5,15442.919999999998,24132.800903027215,1.5627097014701377,0.09339142016110014
375,10.35667963683528,9.0,15442.919999999998,25962.221648047424,1.6811730973188637,0.1094876857273066
375,10.35667963683528,9.5,15442.919999999998,27791.64239306764,1.7996364931675901,0.12470068137234924
375,10.35667963683528,10.0,15442.919999999998,29621.063138087848,1.9180998890163163,0.13913250360363572
400,10.941958495460442,8.0,17099.91,22303.380158007,1.3042981020372038,0.05456990270731299
400,10.941958495460442,8.5,17099.91,24132.800903027215,1.4112823344115388,0.07132880264810759
400,10.941958495460442,9.0,17099.91,25962.221648047424,1.5182665667858735,0.08710027533225362
400,10.941958495460442,9.5,17099.91,27791.64239306764,1.6252507991602083,0.10200630084934836
400,10.941958495460442,10.0,17099.91,29621.063138087848,1.732235031534543,0.11614691558802681
425,11.527237354085603,8.0,18756.9,22303.380158007,1.1890760284485709,0.03524209934026379
425,11.527237354085603,8.5,18756.9,24132.800903027215,1.2866092426268314,0.05169384778557928
425,11.527237354085603,9.0,18756.9,25962.221648047424,1.3841424568050915,0.06717626620972328
425,11.527237354085603,9.5,18756.9,27791.64239306764,1.481675670983352,0.08180909909213518
425,11.527237354085603,10.0,18756.9,29621.063138087848,1.5792088851616122,0.09569054938807997
